ID,name,href,first_party,second_party,winning_party,winner_index,facts
1,Jane Roe v. Henry Wade,https://api.oyez.org/cases/1971/70-18,Jane Roe,Henry Wade,,,"<p>In 1970, Jane Roe (a fictional name used in court documents to protect the plaintiff’s identity) filed a lawsuit against Henry Wade, the district attorney of Dallas County, Texas, where she resided, challenging a Texas law making abortion illegal except by a doctor’s orders to save a woman’s life"
2,"Peter Stanley, Sr.  v. Illinois",https://api.oyez.org/cases/1971/70-5014,"Peter Stanley, Sr. ",Illinois,,,"<p>Joan Stanley had three children with Peter Stanley.  The Stanleys never married, but lived together off and on for 18 years.  When Joan died, the State of Illinois took the children.  Under Illinois law, unwed fathers were presumed unfit parents regardless of their actual fitness and their childr"
3,John Giglio  v. United States,https://api.oyez.org/cases/1971/70-29,John Giglio ,United States,,,"<p>John Giglio was convicted of passing forged money orders.  While his appeal to the U.S. Court of Appeals for the Second Circuit was pending, Giglio’s counsel discovered new evidence. The evidence indicated that the prosecution failed to disclose that it promised a key witness immunity from prosec"
4,Sally Reed v. Cecil Reed,https://api.oyez.org/cases/1971/70-4,Sally Reed,Cecil Reed,,,"<p>The Idaho Probate Code specified that ""males must be preferred to females"" in appointing administrators of estates. After the death of their adopted son, both Sally and Cecil Reed sought to be named the administrator of their son's estate (the Reeds were separated). According to the Probate Code,"
5,Marvin Miller v. California,https://api.oyez.org/cases/1971/70-73,Marvin Miller,California,,,"<p>Miller, after conducting a mass mailing campaign to advertise the sale of ""adult"" material, was convicted of violating a California statute prohibiting the distribution of obscene material. Some unwilling recipients of Miller's brochures complained to the police, initiating the legal proceedings."
6,"Richard G. Kleindienst, Attorney General of the United States; William P. Rogers, Secretary of State v. Ernest E. Mandel, et al.",https://api.oyez.org/cases/1971/71-16,"Richard G. Kleindienst, Attorney General of the United States; William P. Rogers, Secretary of State","Ernest E. Mandel, et al.",,,"<p>Ernest E. Mandel was a Belgian professional journalist and editor-in-chief of La Guache, a Belgian Left Socialist weekly publication. He described himself as a revolutionary Marxist, advocating the economic, governmental, and international doctrines of world Communism. Previously, the United Stat"
7,Sarno v. Illinois Crime Investigating Commission,https://api.oyez.org/cases/1971/70-7,Sarno,Illinois Crime Investigating Commission,,,"<p>The Illinois Crime Investigating Commission was created to investigate organized crime in Illinois. Albert Sarno and Chris Cardi were police officers. The Commission wanted the officers to testify pursuant to an investigation of a ""juice loan"" or ""loan shark"" racket.</p>
<p>On February 8, 1968, t"
8,Argersinger v. Hamlin,https://api.oyez.org/cases/1971/70-5015,Argersinger,Hamlin,,,"<p>Jon Argersinger was an indigent charged with carrying a concealed weapon, a misdemeanor in the State of Florida. The charge carried with it a maximum penalty of six months in jail and a $1,000 fine. During the bench trial in which he was convicted and sentenced to serve ninety days in jail, Arger"
9,Eisenstadt v. Baird,https://api.oyez.org/cases/1971/70-17,Eisenstadt,Baird,,,"<p>William Baird gave away Emko Vaginal Foam to a woman following his Boston University lecture on birth control and over-population. Massachusetts charged Baird with a felony, to distribute contraceptives to unmarried men or women. Under the law, only married couples could obtain contraceptives; on"
10,Gooding v. Wilson,https://api.oyez.org/cases/1971/70-26,Gooding,Wilson,,,"<p>A Georgia state court convicted Johnny Wilson of violating a state statute. The statute provided that ""[a]ny person who shall, without provocation, use to or of another, and in his presence . . . opprobrious words or abusive language, tending to cause a breach of the peace . . . shall be guilty o"
11,Furman v. Georgia,https://api.oyez.org/cases/1971/69-5030,Furman,Georgia,,,"<p>Furman was burglarizing a private home when a family member discovered him. He attempted to flee, and in doing so tripped and fell. The gun that he was carrying went off and killed a resident of the home. He was convicted of murder and sentenced to death (Two other death penalty cases were decide"
12,Moose Lodge No. 107 v. Irvis,https://api.oyez.org/cases/1971/70-75,Moose Lodge No. 107,Irvis,,,"<p>K. Leroy Irvis, a black man who was a guest of a white member of the Moose Lodge No. 107, was refused service at the club's dining room because of his race. The bylaws of the Lodge limited membership to white male Caucasians. Irvis challenged the club's refusal to serve him, arguing that the acti"
13,Branzburg v. Hayes,https://api.oyez.org/cases/1971/70-85,Branzburg,Hayes,,,"<p>After observing and interviewing a number of people synthesizing and using drugs in a two-county area in Kentucky, Branzburg, a reporter, wrote a story which appeared in a Louisville newspaper. On two occasions he was called to testify before state grand juries which were investigating drug crime"
14,Thomas Kirby v. Illinois,https://api.oyez.org/cases/1971/70-5061,Thomas Kirby,Illinois,,,"<p>William Shard reported to the Chicago police that two men stole his wallet.  The wallet contained traveler’s checks and his social security card, among other things.  The next day, two police officers stopped Thomas Kirby and his friend, Ralph Bean.  When asked for identification, Kirby produced "
15,Wisconsin v. Yoder,https://api.oyez.org/cases/1971/70-110,Wisconsin,Yoder,,,"<p>Jonas Yoder and Wallace Miller, both members of the Old Order Amish religion, and Adin Yutzy, a member of the Conservative Amish Mennonite Church, were prosecuted under a Wisconsin law that required all children to attend public schools until age 16. The three parents refused to send their childr"
16,Board of Regents of State Colleges v. David Roth,https://api.oyez.org/cases/1971/71-162,Board of Regents of State Colleges,David Roth,,,<p>David Roth was hired under a one-year contract to teach political science at Wisconsin State University-Oshkosh. He was informed that he would not be rehired at the end of his contract. No reasons were given for this decision. Roth brought suit against the university claiming that (1) the real re
17,"United States v. Mississippi Chemical Corporation, Costal Chemical Corp",https://api.oyez.org/cases/1971/70-52,United States,"Mississippi Chemical Corporation, Costal Chemical Corp",,,"<p>Mississippi Chemical Corp. and Costal Chemical Corp. were “cooperate associations” within the meaning of the Agricultural Marketing Act.  The associations qualified for membership in a “bank for Cooperatives”, which allowed them to borrow money.  The Farm Credit Act of 1955 required that the asso"
18,Rudolph Santobello v. State of New York,https://api.oyez.org/cases/1971/70-98,Rudolph Santobello,State of New York,,,"<p>In 1969, the State of New York indicted Rudolph Santobello on two felony counts. After Santobello pled not guilty to both counts, the prosecutor offered him a plea deal. In order to receive a lighter sentence, Santobello could plead guilty to a lesser offense. The prosecutor further agreed not to"
19,Morrissey v. Brewer,https://api.oyez.org/cases/1971/71-5103,Morrissey,Brewer,,,"<p>On January 4, 1967, John J. Morrissey entered a guilty plea to an information charging him with false uttering of a check. After serving part of his seven-year sentence, the Iowa Board of Parole granted Morrissey parole, and he was released from Iowa State Penitentiary on June 20, 1968. On Januar"
20,"Evelle J. Younger, et al. v. Robert O. Gilmore, Jr., et al.",https://api.oyez.org/cases/1971/70-9,"Evelle J. Younger, et al.","Robert O. Gilmore, Jr., et al.",,,"<p>Several indigent California state prisoners filed complaints attacking the constitutionality of the regulations which forbade California prisons from having more than twelve law books in a prison library.  On January 10, 1967, the district court consolidated the multiple cases because they contai"
21,Gravel v. United States,https://api.oyez.org/cases/1971/71-1017,Gravel,United States,,,"<p>In 1971, Senator Mike Gravel received a copy of the Pentagon Papers: a set of classified documents concerning U.S. involvement in the Vietnam war. Gravel then introduced the study, in its entirety, into the record of a Senate Subcommittee meeting. Gravel also arranged for the private publication "
22,Frederick E. Adams v. Robert Williams,https://api.oyez.org/cases/1971/70-283,Frederick E. Adams,Robert Williams,,,"<p>During the early morning hours of October 30, 1966, an individual approached a police officer in a gas station parking lot in Bridgeport, Connecticut, and informed him that another individual in a nearby vehicle was carrying narcotics and had a gun at his waist. The officer approached the vehicle"
23,Lloyd Corp. Ltd. v. Donald Tanner et al.,https://api.oyez.org/cases/1971/71-492,Lloyd Corp. Ltd.,Donald Tanner et al.,,,"<p>Donald Tanner was a Vietnam War protestor who was distributing anti-war handbills inside Lloyd Center Mall in Portland, Oregon. The handbills were unrelated to the operations of Lloyd Center. Lloyd Center was privately owned by Lloyd Corporation, which prohibited the distribution of handbills ins"
24,Police Department of the City of Chicago v. Mosley,https://api.oyez.org/cases/1971/70-87,Police Department of the City of Chicago,Mosley,,,"<p>Chicago adopted an ordinance prohibiting picketing within 150 feet of a school during school hours; the law made an exception for peaceful labor picketing. Mosley had been picketing near a public high school; he was protesting ""black discrimination."" Mosley sought a declaration that the ordinance"
25,Chevron Oil Company v. Huson,https://api.oyez.org/cases/1971/70-11,Chevron Oil Company,Huson,,,"<p>Gaines Ted Huson suffered a back injury while working on a fixed oil rig, owned by Chevron Oil Company, off the coast of Louisiana. More than two years after the injury, Huson sued Chevron for damages in United States District Court, Eastern District of Louisiana, New Orleans Division. Huson alle"
26,"Curtis C. Flood v. Bowie K. Kuhn, Commissioner of Baseball, et al.",https://api.oyez.org/cases/1971/71-32,Curtis C. Flood,"Bowie K. Kuhn, Commissioner of Baseball, et al.",,,"<p>Curtis C. Flood was a professional baseball player for the St. Louis Cardinals of the National League. Flood was a consistent, above-average hitter and a well-regarded outfielder, playing one full season without an error in 1966, an unusual achievement. Flood played twelve seasons for the Cardina"
27,David Gelbard v. United States,https://api.oyez.org/cases/1971/71-110,David Gelbard,United States,,,"<p>Perry Paul, an alleged bookmaker, and Jerome Zarowitz, a former executive of a Las Vegas casino, had their telephones tapped by federal agents. The agents recorded conversations between Paul and David Gelbard and between Zarowitz and Sidney Parnas. Gelbard and Parnas were called before a federal "
28,"Francis Haines v. Otto J. Kerner, former Governor of Illinois",https://api.oyez.org/cases/1971/70-5025,Francis Haines,"Otto J. Kerner, former Governor of Illinois",,,"<p>Francis Haines was placed in solitary confinement for 15 days because he hit another inmate over the head with a shovel during a confrontation. Haines was 66 years old and suffered from a foot disability. He claimed his foot disability worsened due to being kept in solitary confinement, where he "
29,Kastigar v. United States,https://api.oyez.org/cases/1971/70-117,Kastigar,United States,,,"<p>Kastigar cited his Fifth Amendment protection against self-incrimination in refusing to testify before a grand jury, even though prosecutors had granted him immunity from the use of his testimony in subsequent criminal proceedings. He was found in contempt of court for failing to testify.</p>
"
30,"D. H. Overmyer Company, Inc., of Ohio v. Frick",https://api.oyez.org/cases/1971/69-5,"D. H. Overmyer Company, Inc., of Ohio",Frick,,,"<p>In 1966, D.H. Overmyer Co. entered into a contract with Frick Co. for the manufacture and installation of a $223,000 automatic refrigeration system for a warehouse under construction in Toledo, Ohio. The agreement established a promissory note with monthly payment obligations. Overmyer began to f"
31,"Willie Mae Barker v. John W. Wingo, Warden",https://api.oyez.org/cases/1971/71-5255,Willie Mae Barker,"John W. Wingo, Warden",,,"<p>On July 20, 1958, intruders beat an elderly couple to death in Christian County, Kentucky. Shortly afterward, police arrested Silas Manning and Willie Barker for the crime. Both were indicted on September 15 and assigned counsel on September 17. Barker’s trial was scheduled to begin on September "
32,Dunn v. Blumstein,https://api.oyez.org/cases/1971/70-13,Dunn,Blumstein,,,"<p>A Tennessee law required a one-year residence in the state and a three-month residence in the county as a precondition for voting. James Blumstein, a university professor who had recently moved to Tennessee, challenged the law by filing suit against Governor Winfield Dunn and other local official"
33,United States v. Allen H. Generes and Edna Generes,https://api.oyez.org/cases/1971/70-28,United States,Allen H. Generes and Edna Generes,,,"<p>In 1954, Allen Generes and his son-in-law William Kelly formed Kelly-Generes Construction Co., Inc. Generes and Kelly each owned 44% of the stock, with the remaining 12% owned by Generes’ son and another son-in-law. Generes was the president of the corporation and did not deal with the day-to-day"
34,"Sierra Club v. Roger C. B. Morton, Secretary of the Interior of the United States",https://api.oyez.org/cases/1971/70-34,Sierra Club,"Roger C. B. Morton, Secretary of the Interior of the United States",,,"<p>The Mineral King Valley was an undeveloped part of the Sequoia National Forest that was mostly used for mining until the 1920s. In the late 1940s, developers began to make bids on the land for recreational developments. Walt Disney Enterprises won a bid to start surveying the valley in the hopes "
35,United States v. United States District Court for the Eastern District of Michigan,https://api.oyez.org/cases/1971/70-153,United States,United States District Court for the Eastern District of Michigan,,,"<p>Investigating three people it suspected of conspiring to destroy government property and bombing a Central Intelligence Agency office, officials used electronic surveillance to record suspects' conversations. The wiretapping was conducted without a search warrant.</p>
"
36,"Albert Delanor Murel, et al. v. Baltimore City Criminal Court, et al.",https://api.oyez.org/cases/1971/70-5276,"Albert Delanor Murel, et al.","Baltimore City Criminal Court, et al.",,,"<p>Maryland trial courts convicted Albert Murel and the other petitioners of various crimes and sentenced them to fixed terms of imprisonment. The petitioners were “defective delinquents,” so each was committed to the Patuxent Institution, a mental health facility, pursuant to the Maryland Defective"
37,Charles R. Perry et al. v. Robert P. Sindermann,https://api.oyez.org/cases/1971/70-36,Charles R. Perry et al.,Robert P. Sindermann,,,"<p>Robert Sindermann had been a professor at Odessa Junior College for four years, working under one-year contracts. After his election as president of the Texas Junior College Teachers Association, he had several public disagreements with the Odessa Junior College Board of Regents. In May 1969, aft"
38,Merle R. Schneckloth v. Robert Clyde Bustamonte,https://api.oyez.org/cases/1972/71-732,Merle R. Schneckloth,Robert Clyde Bustamonte,,,"<p>A police officer stopped a car that had a burned out license plate light and headlight. There were six men in the car, including Robert Clyde Bustamonte.  Only one passenger had a drivers license, and he claimed that his brother owned the car.  The officer asked this man if he could search the ca"
39,"Keyes v. School District No. 1, Denver, Colorado",https://api.oyez.org/cases/1972/71-507,Keyes,"School District No. 1, Denver, Colorado",,,"<p>Petitioners proved that for nearly ten years since 1960 the Denver, Colorado school system implemented an unconstitutional policy of racial discrimination by operating a segregated school system. The defense argued, and the District Court held, that even though one part of the Denver system was g"
40,"Sharron Frontiero v. Elliot Richardson, Secretary of Defense",https://api.oyez.org/cases/1972/71-1694,Sharron Frontiero,"Elliot Richardson, Secretary of Defense",,,"<p>Sharron Frontiero, a lieutenant in the United States Air Force, sought a dependent's allowance for her husband. Federal law provided that the wives of members of the military automatically became dependents; husbands of female members of the military, however, were not accepted as dependents unle"
41,Mahan v. Howell,https://api.oyez.org/cases/1972/71-364,Mahan,Howell,,,"<p>In 1971, the Virginia legislature reapportioned itself. The plan for the House of Representatives provided for 100 representatives from 52 districts with each House member representing an average of 46,485 constituents(with a variance between largest and smallest being 16.4 percent, compared to t"
42,United States v. Charles J. Ash Jr.,https://api.oyez.org/cases/1972/71-1255,United States,Charles J. Ash Jr.,,,"<p>Charles J. Ash Jr. was indicted for robbing the American Trust &amp; Security Company in Washington, D.C. Before his trial, almost three years after the robbery, an FBI agent and a prosecutor showed five color mug shot photographs to potential witnesses to make sure they would be able to make an "
43,"William S. Neil, Warden of the Tennessee State Penitentiary  v. Archie Nathaniel Biggers",https://api.oyez.org/cases/1972/71-586,"William S. Neil, Warden of the Tennessee State Penitentiary ",Archie Nathaniel Biggers,,,"<p>A Tennessee state court convicted Archie Biggers in the rape of Margaret Beamer.  The only major evidence against him was Ms. Beamer’s identification several weeks after the incident at a police station “show up”.  The “show up” was similar to a line up, but contained the suspect alone.  The poli"
